Infinitive,усоверше́нствовать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,усоверше́нствовавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,усоверше́нствованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,усоверше́нствовав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,усоверше́нствовавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,усоверше́нствую
2nd Sing,усоверше́нствуешь
3rd Sing,усоверше́нствует
1st Pl,усоверше́нствуем
2nd Pl,усоверше́нствуете
3rd Pl,усоверше́нствуют
Past M,усоверше́нствовал
Past F,усоверше́нствовала
Past N,усоверше́нствовало
Past PL,усоверше́нствовали
Imp S,усоверше́нствуй
Imp PL,усоверше́нствуйте
