Infinitive,устыди́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,устыди́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,устыди́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,устыжу́сь
2nd Sing,устыди́шься
3rd Sing,устыди́тся
1st Pl,устыди́мся
2nd Pl,устыди́тесь
3rd Pl,устыдя́тся
Past M,устыди́лся
Past F,устыди́лась
Past N,устыди́лось
Past PL,устыди́лись
Imp S,устыди́сь
Imp PL,устыди́тесь
