Infinitive,усла́ть
Zaliznyak Class,6b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,усла́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,у́сланный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,усла́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,усла́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ушлю́
2nd Sing,ушлёшь
3rd Sing,ушлёт
1st Pl,ушлём
2nd Pl,ушлёте
3rd Pl,ушлю́т
Past M,усла́л
Past F,усла́ла
Past N,усла́ло
Past PL,усла́ли
Imp S,ушли́
Imp PL,ушли́те
