Infinitive,уста́ть
Zaliznyak Class,15a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,уста́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уста́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,уста́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,уста́ну
2nd Sing,уста́нешь
3rd Sing,уста́нет
1st Pl,уста́нем
2nd Pl,уста́нете
3rd Pl,уста́нут
Past M,уста́л
Past F,уста́ла
Past N,уста́ло
Past PL,уста́ли
Imp S,уста́нь
Imp PL,уста́ньте
