Infinitive,ускоря́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ускоря́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ускоря́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ускоря́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ускоря́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,ускоря́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,ускоря́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,ускоря́ю
2nd Sing,ускоря́ешь
3rd Sing,ускоря́ет
1st Pl,ускоря́ем
2nd Pl,ускоря́ете
3rd Pl,ускоря́ют
Past M,ускоря́л
Past F,ускоря́ла
Past N,ускоря́ло
Past PL,ускоря́ли
Imp S,ускоря́й
Imp PL,ускоря́йте
