Infinitive,успока́иваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,успока́ивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,успока́ивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,успока́иваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,успока́ивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,успока́иваюсь
2nd Sing,успока́иваешься
3rd Sing,успока́ивается
1st Pl,успока́иваемся
2nd Pl,успока́иваетесь
3rd Pl,успока́иваются
Past M,успока́ивался
Past F,успока́ивалась
Past N,успока́ивалось
Past PL,успока́ивались
Imp S,успока́ивайся
Imp PL,успока́ивайтесь
