Infinitive,усмехну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,усмехну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,усмехну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,усмехну́сь
2nd Sing,усмехнёшься
3rd Sing,усмехнётся
1st Pl,усмехнёмся
2nd Pl,усмехнётесь
3rd Pl,усмехну́тся
Past M,усмехну́лся
Past F,усмехну́лась
Past N,усмехну́лось
Past PL,усмехну́лись
Imp S,усмехни́сь
Imp PL,усмехни́тесь
