Infinitive,усма́тривать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,усма́тривающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,усма́тривавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,усма́триваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,усма́тривая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,усма́тривав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,усма́тривавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,усма́триваю
2nd Sing,усма́триваешь
3rd Sing,усма́тривает
1st Pl,усма́триваем
2nd Pl,усма́триваете
3rd Pl,усма́тривают
Past M,усма́тривал
Past F,усма́тривала
Past N,усма́тривало
Past PL,усма́тривали
Imp S,усма́тривай
Imp PL,усма́тривайте
