Infinitive,усво́ить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,усво́ивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,усво́енный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,усво́ив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,усво́ивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,усво́ю
2nd Sing,усво́ишь
3rd Sing,усво́ит
1st Pl,усво́им
2nd Pl,усво́ите
3rd Pl,усво́ят
Past M,усво́ил
Past F,усво́ила
Past N,усво́ило
Past PL,усво́или
Imp S,усво́й
Imp PL,усво́йте
