Infinitive,усе́ять
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,усе́явший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,усе́янный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,усе́яв
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,усе́явши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,усе́ю
2nd Sing,усе́ешь
3rd Sing,усе́ет
1st Pl,усе́ем
2nd Pl,усе́ете
3rd Pl,усе́ют
Past M,усе́ял
Past F,усе́яла
Past N,усе́яло
Past PL,усе́яли
Imp S,усе́й
Imp PL,усе́йте
