Infinitive,устаре́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,устаре́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,устаре́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,устаре́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,устаре́ю
2nd Sing,устаре́ешь
3rd Sing,устаре́ет
1st Pl,устаре́ем
2nd Pl,устаре́ете
3rd Pl,устаре́ют
Past M,устаре́л
Past F,устаре́ла
Past N,устаре́ло
Past PL,устаре́ли
Imp S,устаре́й
Imp PL,устаре́йте
