Infinitive,ускоря́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ускоря́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ускоря́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ускоря́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ускоря́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ускоря́юсь
2nd Sing,ускоря́ешься
3rd Sing,ускоря́ется
1st Pl,ускоря́емся
2nd Pl,ускоря́етесь
3rd Pl,ускоря́ются
Past M,ускоря́лся
Past F,ускоря́лась
Past N,ускоря́лось
Past PL,ускоря́лись
Imp S,ускоря́йся
Imp PL,ускоря́йтесь
