Infinitive,усе́сться
Zaliznyak Class,7a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,усе́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,усе́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,уся́дусь
2nd Sing,уся́дешься
3rd Sing,уся́дется
1st Pl,уся́демся
2nd Pl,уся́детесь
3rd Pl,уся́дутся
Past M,усе́лся
Past F,усе́лась
Past N,усе́лось
Past PL,усе́лись
Imp S,уся́дься
Imp PL,уся́дьтесь
