Infinitive,усынови́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,усынови́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,усыновлённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,усынови́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,усынови́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,усыновлю́
2nd Sing,усынови́шь
3rd Sing,усынови́т
1st Pl,усынови́м
2nd Pl,усынови́те
3rd Pl,усыновя́т
Past M,усынови́л
Past F,усынови́ла
Past N,усынови́ло
Past PL,усынови́ли
Imp S,усынови́
Imp PL,усынови́те
