Infinitive,уско́рить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,уско́ривший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уско́ренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уско́рив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,уско́ривши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уско́рю
2nd Sing,уско́ришь
3rd Sing,уско́рит
1st Pl,уско́рим
2nd Pl,уско́рите
3rd Pl,уско́рят
Past M,уско́рил
Past F,уско́рила
Past N,уско́рило
Past PL,уско́рили
Imp S,уско́рь
Imp PL,уско́рьте
