Infinitive,усмотре́ть
Zaliznyak Class,5c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,усмотре́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,усмо́тренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,усмотре́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,усмотре́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,усмотрю́
2nd Sing,усмо́тришь
3rd Sing,усмо́трит
1st Pl,усмо́трим
2nd Pl,усмо́трите
3rd Pl,усмо́трят
Past M,усмотре́л
Past F,усмотре́ла
Past N,усмотре́ло
Past PL,усмотре́ли
Imp S,усмотри́
Imp PL,усмотри́те
