Infinitive,услы́шать
Zaliznyak Class,5a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,услы́шавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,услы́шанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,услы́шав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,услы́шавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,услы́шу
2nd Sing,услы́шишь
3rd Sing,услы́шит
1st Pl,услы́шим
2nd Pl,услы́шите
3rd Pl,услы́шат
Past M,услы́шал
Past F,услы́шала
Past N,услы́шало
Past PL,услы́шали
Imp S,услы́шь
Imp PL,услы́шьте
