Infinitive,усугуби́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,усугуби́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,усугублённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,усугуби́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,усугуби́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,усугублю́
2nd Sing,усугуби́шь
3rd Sing,усугуби́т
1st Pl,усугуби́м
2nd Pl,усугуби́те
3rd Pl,усугубя́т
Past M,усугуби́л
Past F,усугуби́ла
Past N,усугуби́ло
Past PL,усугуби́ли
Imp S,усугуби́
Imp PL,усугуби́те
