Infinitive,уси́литься
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,уси́лившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уси́лившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,уси́люсь
2nd Sing,уси́лишься
3rd Sing,уси́лится
1st Pl,уси́лимся
2nd Pl,уси́литесь
3rd Pl,уси́лятся
Past M,уси́лился
Past F,уси́лилась
Past N,уси́лилось
Past PL,уси́лились
Imp S,уси́лься
Imp PL,уси́льтесь
