Infinitive,уси́лить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,уси́ливший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уси́ленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уси́лив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,уси́ливши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уси́лю
2nd Sing,уси́лишь
3rd Sing,уси́лит
1st Pl,уси́лим
2nd Pl,уси́лите
3rd Pl,уси́лят
Past M,уси́лил
Past F,уси́лила
Past N,уси́лило
Past PL,уси́лили
Imp S,уси́ль
Imp PL,уси́льте
