Infinitive,устана́вливать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,устана́вливающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,устана́вливавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,устана́вливаемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,устана́вливая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,устана́вливав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,устана́вливавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,устана́вливаю
2nd Sing,устана́вливаешь
3rd Sing,устана́вливает
1st Pl,устана́вливаем
2nd Pl,устана́вливаете
3rd Pl,устана́вливают
Past M,устана́вливал
Past F,устана́вливала
Past N,устана́вливало
Past PL,устана́вливали
Imp S,устана́вливай
Imp PL,устана́вливайте
