Infinitive,усмири́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,усмири́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,усмирённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,усмири́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,усмири́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,усмирю́
2nd Sing,усмири́шь
3rd Sing,усмири́т
1st Pl,усмири́м
2nd Pl,усмири́те
3rd Pl,усмиря́т
Past M,усмири́л
Past F,усмири́ла
Past N,усмири́ло
Past PL,усмири́ли
Imp S,усмири́
Imp PL,усмири́те
