Infinitive,устра́иваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,устра́ивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,устра́ивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,устра́иваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,устра́ивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,устра́иваюсь
2nd Sing,устра́иваешься
3rd Sing,устра́ивается
1st Pl,устра́иваемся
2nd Pl,устра́иваетесь
3rd Pl,устра́иваются
Past M,устра́ивался
Past F,устра́ивалась
Past N,устра́ивалось
Past PL,устра́ивались
Imp S,устра́ивайся
Imp PL,устра́ивайтесь
