Infinitive,игра́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,игра́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,игра́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,игра́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,игра́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,игра́юсь
2nd Sing,игра́ешься
3rd Sing,игра́ется
1st Pl,игра́емся
2nd Pl,игра́етесь
3rd Pl,игра́ются
Past M,игра́лся
Past F,игра́лась
Past N,игра́лось
Past PL,игра́лись
Imp S,игра́йся
Imp PL,игра́йтесь
