Infinitive,юти́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ютя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,юти́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ютя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,юти́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ючу́сь
2nd Sing,юти́шься
3rd Sing,юти́тся
1st Pl,юти́мся
2nd Pl,юти́тесь
3rd Pl,ютя́тся
Past M,юти́лся
Past F,юти́лась
Past N,юти́лось
Past PL,юти́лись
Imp S,юти́сь
Imp PL,юти́тесь
