Infinitive,ли́ть
Zaliznyak Class,11b/c
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,лью́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ли́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ли́тый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,лья́
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,ли́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,ли́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,лью́
2nd Sing,льёшь
3rd Sing,льёт
1st Pl,льём
2nd Pl,льёте
3rd Pl,лью́т
Past M,ли́л
Past F,лила́
Past N,ли́ло
Past PL,ли́ли
Imp S,ле́й
Imp PL,ле́йте
