Infinitive,ли́пнуть
Zaliznyak Class,3°a[⑤⑥]
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ли́пнущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ли́пший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,ли́пнувший
PART:2:Participle Type,active
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,ли́пнув
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,ли́пши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,ли́пну
2nd Sing,ли́пнешь
3rd Sing,ли́пнет
1st Pl,ли́пнем
2nd Pl,ли́пнете
3rd Pl,ли́пнут
Past M,ли́п
Past F,ли́пла
Past N,ли́пло
Past PL,ли́пли
Imp S,ли́пни
Imp PL,ли́пните
