Infinitive,лиша́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,лиша́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,лиша́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,лиша́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,лиша́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,лиша́юсь
2nd Sing,лиша́ешься
3rd Sing,лиша́ется
1st Pl,лиша́емся
2nd Pl,лиша́етесь
3rd Pl,лиша́ются
Past M,лиша́лся
Past F,лиша́лась
Past N,лиша́лось
Past PL,лиша́лись
Imp S,лиша́йся
Imp PL,лиша́йтесь
