Infinitive,лиши́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,лиши́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,лишённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,лиши́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,лиши́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,лишу́
2nd Sing,лиши́шь
3rd Sing,лиши́т
1st Pl,лиши́м
2nd Pl,лиши́те
3rd Pl,лиша́т
Past M,лиши́л
Past F,лиши́ла
Past N,лиши́ло
Past PL,лиши́ли
Imp S,лиши́
Imp PL,лиши́те
