Infinitive,лиди́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,лиди́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,лиди́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,лиди́руя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,лиди́ровав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,лиди́ровавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,лиди́рую
2nd Sing,лиди́руешь
3rd Sing,лиди́рует
1st Pl,лиди́руем
2nd Pl,лиди́руете
3rd Pl,лиди́руют
Past M,лиди́ровал
Past F,лиди́ровала
Past N,лиди́ровало
Past PL,лиди́ровали
Imp S,лиди́руй
Imp PL,лиди́руйте
