Infinitive,лизну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,лизну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,лизну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,лизну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,лизну́
2nd Sing,лизнёшь
3rd Sing,лизнёт
1st Pl,лизнём
2nd Pl,лизнёте
3rd Pl,лизну́т
Past M,лизну́л
Past F,лизну́ла
Past N,лизну́ло
Past PL,лизну́ли
Imp S,лизни́
Imp PL,лизни́те
