Infinitive,лицезре́ть
Zaliznyak Class,5b
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,лицезря́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,лицезре́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,лицезри́мый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,лицезря́
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,лицезре́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,лицезре́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,лицезрю́
2nd Sing,лицезри́шь
3rd Sing,лицезри́т
1st Pl,лицезри́м
2nd Pl,лицезри́те
3rd Pl,лицезря́т
Past M,лицезре́л
Past F,лицезре́ла
Past N,лицезре́ло
Past PL,лицезре́ли
Imp S,лицезри́
Imp PL,лицезри́те
