Infinitive,ли́ться
Zaliznyak Class,11b/c''
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,лью́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ли́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,лья́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ли́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,лью́сь
2nd Sing,льёшься
3rd Sing,льётся
1st Pl,льёмся
2nd Pl,льётесь
3rd Pl,лью́тся
Past M,ли́лся
Past F,лила́сь
Past N,лило́сь
Past PL,лили́сь
Imp S,ле́йся
Imp PL,ле́йтесь
