Infinitive,ликвиди́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ликвиди́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ликвиди́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ликвиди́руемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ликвиди́рованный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,ликвиди́руя
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,ликвиди́ровав
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,ликвиди́ровавши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,ликвиди́рую
2nd Sing,ликвиди́руешь
3rd Sing,ликвиди́рует
1st Pl,ликвиди́руем
2nd Pl,ликвиди́руете
3rd Pl,ликвиди́руют
Past M,ликвиди́ровал
Past F,ликвиди́ровала
Past N,ликвиди́ровало
Past PL,ликвиди́ровали
Imp S,ликвиди́руй
Imp PL,ликвиди́руйте
