Infinitive,линя́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,линя́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,линя́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,линя́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,линя́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,линя́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,линя́ю
2nd Sing,линя́ешь
3rd Sing,линя́ет
1st Pl,линя́ем
2nd Pl,линя́ете
3rd Pl,линя́ют
Past M,линя́л
Past F,линя́ла
Past N,линя́ло
Past PL,линя́ли
Imp S,линя́й
Imp PL,линя́йте
