Infinitive,отча́иваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отча́ивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отча́ивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отча́иваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отча́ивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отча́иваюсь
2nd Sing,отча́иваешься
3rd Sing,отча́ивается
1st Pl,отча́иваемся
2nd Pl,отча́иваетесь
3rd Pl,отча́иваются
Past M,отча́ивался
Past F,отча́ивалась
Past N,отча́ивалось
Past PL,отча́ивались
Imp S,отча́ивайся
Imp PL,отча́ивайтесь
