Infinitive,отка́зываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отка́зывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отка́зывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отка́зываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отка́зывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отка́зываюсь
2nd Sing,отка́зываешься
3rd Sing,отка́зывается
1st Pl,отка́зываемся
2nd Pl,отка́зываетесь
3rd Pl,отка́зываются
Past M,отка́зывался
Past F,отка́зывалась
Past N,отка́зывалось
Past PL,отка́зывались
Imp S,отка́зывайся
Imp PL,отка́зывайтесь
