Infinitive,отрека́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отрека́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отрека́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отрека́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отрека́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отрека́юсь
2nd Sing,отрека́ешься
3rd Sing,отрека́ется
1st Pl,отрека́емся
2nd Pl,отрека́етесь
3rd Pl,отрека́ются
Past M,отрека́лся
Past F,отрека́лась
Past N,отрека́лось
Past PL,отрека́лись
Imp S,отрека́йся
Imp PL,отрека́йтесь
