Infinitive,отда́ть
Zaliznyak Class,irreg-b/c[①]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отда́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,о́тданный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отда́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отда́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отда́м
2nd Sing,отда́шь
3rd Sing,отда́ст
1st Pl,отдади́м
2nd Pl,отдади́те
3rd Pl,отдаду́т
Past M,отда́л
Past F,отдала́
Past N,отда́ло
Past PL,отда́ли
Imp S,отда́й
Imp PL,отда́йте
