Infinitive,отста́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отста́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отста́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отста́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отста́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отста́влю
2nd Sing,отста́вишь
3rd Sing,отста́вит
1st Pl,отста́вим
2nd Pl,отста́вите
3rd Pl,отста́вят
Past M,отста́вил
Past F,отста́вила
Past N,отста́вило
Past PL,отста́вили
Imp S,отста́вь
Imp PL,отста́вьте
