Infinitive,отча́лить
Zaliznyak Class,4a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,отча́ливший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отча́лив
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,отча́ливши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,отча́лю
2nd Sing,отча́лишь
3rd Sing,отча́лит
1st Pl,отча́лим
2nd Pl,отча́лите
3rd Pl,отча́лят
Past M,отча́лил
Past F,отча́лила
Past N,отча́лило
Past PL,отча́лили
Imp S,отча́ль
Imp PL,отча́льте
