Infinitive,отправля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отправля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отправля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отправля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отправля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отправля́юсь
2nd Sing,отправля́ешься
3rd Sing,отправля́ется
1st Pl,отправля́емся
2nd Pl,отправля́етесь
3rd Pl,отправля́ются
Past M,отправля́лся
Past F,отправля́лась
Past N,отправля́лось
Past PL,отправля́лись
Imp S,отправля́йся
Imp PL,отправля́йтесь
