Infinitive,отки́дываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отки́дывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отки́дывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отки́дываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отки́дывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отки́дываюсь
2nd Sing,отки́дываешься
3rd Sing,отки́дывается
1st Pl,отки́дываемся
2nd Pl,отки́дываетесь
3rd Pl,отки́дываются
Past M,отки́дывался
Past F,отки́дывалась
Past N,отки́дывалось
Past PL,отки́дывались
Imp S,отки́дывайся
Imp PL,отки́дывайтесь
