Infinitive,оты́скивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,оты́скивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,оты́скивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,оты́скиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,оты́скивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,оты́скивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,оты́скивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,оты́скиваю
2nd Sing,оты́скиваешь
3rd Sing,оты́скивает
1st Pl,оты́скиваем
2nd Pl,оты́скиваете
3rd Pl,оты́скивают
Past M,оты́скивал
Past F,оты́скивала
Past N,оты́скивало
Past PL,оты́скивали
Imp S,оты́скивай
Imp PL,оты́скивайте
