Infinitive,отреши́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отреши́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отреши́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отрешу́сь
2nd Sing,отреши́шься
3rd Sing,отреши́тся
1st Pl,отреши́мся
2nd Pl,отреши́тесь
3rd Pl,отреша́тся
Past M,отреши́лся
Past F,отреши́лась
Past N,отреши́лось
Past PL,отреши́лись
Imp S,отреши́сь
Imp PL,отреши́тесь
