Infinitive,отбы́ть
Zaliznyak Class,irreg-a/c[①]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отбы́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,о́тбытый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,отбы́тый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,отбы́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,отбы́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,отбу́ду
2nd Sing,отбу́дешь
3rd Sing,отбу́дет
1st Pl,отбу́дем
2nd Pl,отбу́дете
3rd Pl,отбу́дут
Past M,о́тбыл
Past F,отбыла́
Past N,о́тбыло
Past PL,о́тбыли
Imp S,отбу́дь
Imp PL,отбу́дьте
