Infinitive,отремонти́ровать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отремонти́ровавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отремонти́рованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отремонти́ровав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отремонти́ровавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отремонти́рую
2nd Sing,отремонти́руешь
3rd Sing,отремонти́рует
1st Pl,отремонти́руем
2nd Pl,отремонти́руете
3rd Pl,отремонти́руют
Past M,отремонти́ровал
Past F,отремонти́ровала
Past N,отремонти́ровало
Past PL,отремонти́ровали
Imp S,отремонти́руй
Imp PL,отремонти́руйте
