Infinitive,откати́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,откати́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,откати́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,откачу́сь
2nd Sing,отка́тишься
3rd Sing,отка́тится
1st Pl,отка́тимся
2nd Pl,отка́титесь
3rd Pl,отка́тятся
Past M,откати́лся
Past F,откати́лась
Past N,откати́лось
Past PL,откати́лись
Imp S,откати́сь
Imp PL,откати́тесь
