Infinitive,отве́тить
Zaliznyak Class,4a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,отве́тивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отве́тив
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,отве́тивши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,отве́чу
2nd Sing,отве́тишь
3rd Sing,отве́тит
1st Pl,отве́тим
2nd Pl,отве́тите
3rd Pl,отве́тят
Past M,отве́тил
Past F,отве́тила
Past N,отве́тило
Past PL,отве́тили
Imp S,отве́ть
Imp PL,отве́тьте
