Infinitive,отпра́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отпра́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отпра́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отпра́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отпра́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отпра́влю
2nd Sing,отпра́вишь
3rd Sing,отпра́вит
1st Pl,отпра́вим
2nd Pl,отпра́вите
3rd Pl,отпра́вят
Past M,отпра́вил
Past F,отпра́вила
Past N,отпра́вило
Past PL,отпра́вили
Imp S,отпра́вь
Imp PL,отпра́вьте
