Infinitive,отцвести́
Zaliznyak Class,7b/b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,отцве́тший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отцве́тши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отцвету́
2nd Sing,отцветёшь
3rd Sing,отцветёт
1st Pl,отцветём
2nd Pl,отцветёте
3rd Pl,отцвету́т
Past M,отцвёл
Past F,отцвела́
Past N,отцвело́
Past PL,отцвели́
Imp S,отцвети́
Imp PL,отцвети́те
