Infinitive,отря́хивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отря́хивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отря́хивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отря́хиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отря́хивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,отря́хивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,отря́хивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,отря́хиваю
2nd Sing,отря́хиваешь
3rd Sing,отря́хивает
1st Pl,отря́хиваем
2nd Pl,отря́хиваете
3rd Pl,отря́хивают
Past M,отря́хивал
Past F,отря́хивала
Past N,отря́хивало
Past PL,отря́хивали
Imp S,отря́хивай
Imp PL,отря́хивайте
