Infinitive,отшвы́ривать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отшвы́ривающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отшвы́ривавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отшвы́риваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отшвы́ривая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,отшвы́ривав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,отшвы́ривавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,отшвы́риваю
2nd Sing,отшвы́риваешь
3rd Sing,отшвы́ривает
1st Pl,отшвы́риваем
2nd Pl,отшвы́риваете
3rd Pl,отшвы́ривают
Past M,отшвы́ривал
Past F,отшвы́ривала
Past N,отшвы́ривало
Past PL,отшвы́ривали
Imp S,отшвы́ривай
Imp PL,отшвы́ривайте
