Infinitive,отере́ть
Zaliznyak Class,9b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отёрший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отёртый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отере́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отёрши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отру́
2nd Sing,отрёшь
3rd Sing,отрёт
1st Pl,отрём
2nd Pl,отрёте
3rd Pl,отру́т
Past M,отёр
Past F,отёрла
Past N,отёрло
Past PL,отёрли
Imp S,отри́
Imp PL,отри́те
