Infinitive,оттопы́рить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,оттопы́ривший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оттопы́ренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,оттопы́рив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,оттопы́ривши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,оттопы́рю
2nd Sing,оттопы́ришь
3rd Sing,оттопы́рит
1st Pl,оттопы́рим
2nd Pl,оттопы́рите
3rd Pl,оттопы́рят
Past M,оттопы́рил
Past F,оттопы́рила
Past N,оттопы́рило
Past PL,оттопы́рили
Imp S,оттопы́рь
Imp PL,оттопы́рьте
