Infinitive,отодвига́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отодвига́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отодвига́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отодвига́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отодвига́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отодвига́юсь
2nd Sing,отодвига́ешься
3rd Sing,отодвига́ется
1st Pl,отодвига́емся
2nd Pl,отодвига́етесь
3rd Pl,отодвига́ются
Past M,отодвига́лся
Past F,отодвига́лась
Past N,отодвига́лось
Past PL,отодвига́лись
Imp S,отодвига́йся
Imp PL,отодвига́йтесь
