Infinitive,отла́вливать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отла́вливающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отла́вливавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отла́вливаемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отла́вливая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,отла́вливав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,отла́вливавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,отла́вливаю
2nd Sing,отла́вливаешь
3rd Sing,отла́вливает
1st Pl,отла́вливаем
2nd Pl,отла́вливаете
3rd Pl,отла́вливают
Past M,отла́вливал
Past F,отла́вливала
Past N,отла́вливало
Past PL,отла́вливали
Imp S,отла́вливай
Imp PL,отла́вливайте
