Infinitive,отвлека́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отвлека́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,отвлека́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отвлека́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,отвлека́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отвлека́юсь
2nd Sing,отвлека́ешься
3rd Sing,отвлека́ется
1st Pl,отвлека́емся
2nd Pl,отвлека́етесь
3rd Pl,отвлека́ются
Past M,отвлека́лся
Past F,отвлека́лась
Past N,отвлека́лось
Past PL,отвлека́лись
Imp S,отвлека́йся
Imp PL,отвлека́йтесь
