Infinitive,отверну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отверну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отверну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отверну́сь
2nd Sing,отвернёшься
3rd Sing,отвернётся
1st Pl,отвернёмся
2nd Pl,отвернётесь
3rd Pl,отверну́тся
Past M,отверну́лся
Past F,отверну́лась
Past N,отверну́лось
Past PL,отверну́лись
Imp S,отверни́сь
Imp PL,отверни́тесь
