Infinitive,отки́нуться
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,отки́нувшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отки́нувшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,отки́нусь
2nd Sing,отки́нешься
3rd Sing,отки́нется
1st Pl,отки́немся
2nd Pl,отки́нетесь
3rd Pl,отки́нутся
Past M,отки́нулся
Past F,отки́нулась
Past N,отки́нулось
Past PL,отки́нулись
Imp S,отки́нься
Imp PL,отки́ньтесь
