Infinitive,отвести́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отве́дший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отведённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отведя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,отве́дши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,отведу́
2nd Sing,отведёшь
3rd Sing,отведёт
1st Pl,отведём
2nd Pl,отведёте
3rd Pl,отведу́т
Past M,отвёл
Past F,отвела́
Past N,отвело́
Past PL,отвели́
Imp S,отведи́
Imp PL,отведи́те
