Infinitive,отве́ргнуть
Zaliznyak Class,3°a[⑤⑥]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,отве́ргший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,отве́ргнувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,отве́ргнутый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,отве́ргнув
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,отве́ргши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,отве́ргну
2nd Sing,отве́ргнешь
3rd Sing,отве́ргнет
1st Pl,отве́ргнем
2nd Pl,отве́ргнете
3rd Pl,отве́ргнут
Past M,отве́рг
Past F,отве́ргла
Past N,отве́ргло
Past PL,отве́ргли
Imp S,отве́ргни
Imp PL,отве́ргните
