Infinitive,отойти́
Zaliznyak Class,irreg-b/b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,отоше́дший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отойдя́
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,отоше́дши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,отойду́
2nd Sing,отойдёшь
3rd Sing,отойдёт
1st Pl,отойдём
2nd Pl,отойдёте
3rd Pl,отойду́т
Past M,отошёл
Past F,отошла́
Past N,отошло́
Past PL,отошли́
Imp S,отойди́
Imp PL,отойди́те
