Infinitive,отступи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,отступи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,отступи́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,отступи́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,отступлю́
2nd Sing,отсту́пишь
3rd Sing,отсту́пит
1st Pl,отсту́пим
2nd Pl,отсту́пите
3rd Pl,отсту́пят
Past M,отступи́л
Past F,отступи́ла
Past N,отступи́ло
Past PL,отступи́ли
Imp S,отступи́
Imp PL,отступи́те
